suggestion_id,color_usage,design_usage,ux_suggestion,color_category,design_category,source
1,Dark orange,Orange backgrounds,"We associate orange with danger, and its attention-getting properties means most designers use it sparingly",Complementary colors,General,https://www.sensationalcolor.com/meaning-of-orange/
2,Dark orange,Orange backgrounds,"Too much orange is overpowering, and a large number of people consider orange their least favorite color.",Complementary colors,General,https://www.sensationalcolor.com/meaning-of-orange/
3,Dark orange,Orange backgrounds,Orange can be strident and exhausting if it’s overused,Complementary colors,Products,https://www.sensationalcolor.com/meaning-of-orange/
4,Dark orange,Orange backgrounds,"It’s disadvantage is that by survey of “favorite color” orange usually comes the lowest and thus it is rarely used for longer term products, such as cars or electronic products.",Complementary colors,Products,https://zevendesign.com/color-association/#orange
5,Orange shades,Orange ui components,"Usage of orange shades in UI designs To the human eye, orange is a very hot color, so it gives the sensation of heat",Analog colors,General,https://zevendesign.com/color-association/#orange
6,Orange shades,Orange wordings,"Usage of orange shades in UI designs As a citrus color, orange is associated with healthy food and stimulates appetite",Analog colors,General,https://zevendesign.com/color-association/#orange
7,Orange shades,Orange wordings,"Usage of orange shades in UI designs Orange represents enthusiasm, fascination, happiness, creativity, determination, attraction, success, encouragement and stimulation.",Analog colors,General,https://zevendesign.com/color-association/#orange
8,Orange shades,Orange ui components,"Usage of orange shades in UI designs Orange is the color of fall and harvest. In heraldry, orange is symbolic of strength and endurance.",Analog colors,General,https://zevendesign.com/color-association/#orange
9,Orange shades,Orange ui components,Usage of orange shades in UI designs,Analog colors,General,https://zevendesign.com/color-association/#orange
10,Orange shades,Orange wordings,"Usage of orange shades in UI designs Orange has very high visibility, so you can use it to catch attention and highlight the most important elements of your design. Orange is very effective for promoting food products and toys.",Analog colors,General,https://zevendesign.com/color-association/#orange
11,Orange shades,Orange ui components,"Usage of orange shades in UI designs Orange combines the energy of red and the happiness of yellow. It is associated with joy, sunshine, the tropics.",Analog colors,Products,https://zevendesign.com/color-association/#orange
12,Purple shades,Purple ui components,"According to surveys, almost 75 percent of pre-adolescent children prefer purple to all other colors. ",Analog colors,Products,https://zevendesign.com/color-association/#purple
13,Dark purple,Purple backgrounds,"Because purple is the color of luxury, some people have abused it to express their status within society.",Complementary colors,Products,https://symbolismandmetaphor.com/symbolism-of-purple/#The_Negative_Meanings_of_Purple
14,Dark purple,Purple backgrounds,"darker shades can represent sadness and frustration. In some parts of Europe, purple is associated with death and mourning",Complementary colors,General,https://www.verywellmind.com/the-color-psychology-of-purple-2795820
15,Dark purple,Purple backgrounds,"Certain shades of purple, especially the darker variations, have a very mellow nature.",Complementary colors,General,https://symbolismandmetaphor.com/symbolism-of-purple/#The_Negative_Meanings_of_Purple
16,Dark purple,Purple backgrounds,"For people in depressed states, purple can worsen their depression and make their condition even worse. That has been psychologically shown many times.",Complementary colors,General,https://symbolismandmetaphor.com/symbolism-of-purple/#The_Negative_Meanings_of_Purple
17,Dark purple,Purple backgrounds,"Because of the youthful and playful nature of purple, it’s often been deemed as the color of immaturity, too.",Complementary colors,General,https://symbolismandmetaphor.com/symbolism-of-purple/#The_Negative_Meanings_of_Purple
18,Dark purple,Purple backgrounds,When it comes to UI designs purple is the hardest color for the eye to discriminate.,Complementary colors,Informative,https://www.colormatters.com/the-meanings-of-colors/purple
19,Purple shades,Purple ui components,"Purple can symbolize many things, but to sum it up in a few words, purple represents strength, transformation, power, and royalty.",Analog colors,General,https://pages.vassar.edu/vassartransitions/events/the-meaning-behind-the-color-purple/
20,Purple shades,Purple ui components,color purple is a rare occurring color in nature and as a result is often seen as having sacred meaning,Analog colors,General,https://www.bourncreative.com/meaning-of-the-color-purple/
21,Purple shades,Purple ui components,"The color purple has a variety of effects on the mind and body, including uplifting spirits, calming the mind and nerves,",Analog colors,General,https://www.bourncreative.com/meaning-of-the-color-purple/
22,Purple shades,Purple ui components,"light purples are associated with light-hearted, romantic energies",Analog colors,General,https://www.verywellmind.com/the-color-psychology-of-purple-2795820
23,Purple shades,Purple ui components,"Purple is the most powerful visible wavelength out of all of the colors in the rainbow, but make sure to use it properly",Analog colors,General,https://pages.vassar.edu/vassartransitions/events/the-meaning-behind-the-color-purple/
24,Dark red,Full red backgrounds,"When each and every element on your site is in red, it creates a competition between those elements and increases the cognitive load",Complementary colors,Ecomerce,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
25,Dark red,Full red backgrounds,we use the color red to display error messages because of its ability to grab the attention faster than the other colors,Complementary colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
26,Dark red,Full red backgrounds,Red always makes you feel that you are running out of time and rushes you to take the next action.,Complementary colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
27,Dark red,Full red backgrounds,making the user unable to focus on the most important message.,Complementary colors,Informative,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
28,Dark red,Full red backgrounds,result in users missing out on most important actions among other important actions,Complementary colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
